NAZIONE;CIRCOSCRIZIONE;ELETT_M;ELETT_F;ELETT_TOT;VOT_M;VOT_F;VOT_TOT;NULLE;BIANCHE;CONTESTATE
SPAGNA;V : ITALIA INSULARE;6320;5034;11354;431;259;690;52;0;11
SVEZIA;I : ITALIA NORD-OCCIDENTALE;1582;1258;2840;165;137;302;6;2;75
SVEZIA;II : ITALIA NORD-ORIENTALE;1116;945;2061;142;102;244;4;2;0
SVEZIA;III : ITALIA CENTRALE;1404;1141;2545;156;112;268;2;0;0
SVEZIA;IV : ITALIA MERIDIONALE;909;642;1551;79;52;131;2;0;0
SVEZIA;V : ITALIA INSULARE;598;411;1009;36;12;48;0;0;0
UNGHERIA;I : ITALIA NORD-OCCIDENTALE;464;271;735;265;41;306;2;0;0
UNGHERIA;II : ITALIA NORD-ORIENTALE;572;333;905;80;25;105;2;0;0
UNGHERIA;III : ITALIA CENTRALE;389;262;651;79;38;117;0;0;0
UNGHERIA;IV : ITALIA MERIDIONALE;260;125;385;45;13;58;0;0;0
UNGHERIA;V : ITALIA INSULARE;153;81;234;34;11;45;2;0;0
